file_name,source_id
A-Wn_Cod._9704_n00-n31_TEI.xml,A-Wn_Cod._9704
A-Wn_Mus.Hs._41950_n01-n27_TEI.xml,A-Wn_Mus.Hs._41950
AvA_1514-1515_T_n06.xml,AvA_1514-1515_T
CH-Bu_F X 3_T_n007_n033.xml,CH-Bu_F.X.3_T
D-Mbs_Mus.ms._1512_n000-n113_f0r-72r_TEI.xml,D-Mbs_Mus.ms._1512
EBlDr-WoSollIch_c1510_n01_TEI.xml,EBlDr-WoSollIch_c.1510
Forster_1539-Bd-1-A-1_n092_n102.xml,Forster_1539_T
Ger_1532-2_n001-113_f2r-62v.xml,Ger_1532-2
Jud_151x-1_n00-40_fIr-12v_TEI.xml,Jud_151-1
Jud_1523-2_n1-60_f13r-58r_TEI.xml,Jud_1523-2
Oeg_1512_T_n05_n27_n40.xml,Oeg_1512_T
Ott_1534_n044_n062.xml,Ott_1534_T
Schoe-Ap_1536_T_n_34.xml,Schoe-Ap_1536_T