ID,Shelfmark,Title,Source_link,RISM_link,VD_16
,UKR-LVu 1400/1,Cracow Lute Tablature,,,
,CH-Bu F IX 23,Die Tabulatur von Ludwig Iselin,https://doi.org/10.7891/e-manuscripta-13856,,
,CH-Bu F IX 70,Wurstisens Tabulatur,https://doi.org/10.7891/e-manuscripta-13217,,
,CH-Bu F X 11,Die Tabulatur von Ludwig Iselin,https://doi.org/10.7891/e-manuscripta-13850,,
,CH-Bu F IX 56,56 Chansons und ein freier Instrumentalsatz,https://doi.org/10.7891/e-manuscripta-2685,,
,CH-SAM Ms. FP/M 1,Samedaner Tabulatur,,,
,CH-SAM Ms. FP/M 2,Samedaner Lautentabulaturfragment,https://accordsnouveaux.ch/images/Downloads/PDF-11-Quellen-Schweiz/CH-SAM_2_Bild.pdf,,
,CZ-Pu Hs. 223-20,Strialius‘ Tabulatur,,,
,D-B Mus.ms. 40026,Tabulatur des Leonhard Kleber,http://resolver.staatsbibliothek-berlin.de/SBB0002C41800000000,https://opac.rism.info/rism/Record/rism1001116027,
,D-Z Mus. 115.3,Tabulatur des Johannes Arpinus,,,
,H-Ba K 53/II,Lute Tablature from Istvanffy,,,
,D-Mbs Mus.ms. 2987,Lute Tablature from Herwart's Collection,https://www.digitale-sammlungen.de/view/bsb00104631?page=22%2C23,https://opac.rism.info/rism/Record/rism450306095,
,D-Rp Ms.Th. 98 4°,Regensburger Diagramm,,,
,D-Kl 2° Ms.Math. 31,Kasseler Lautenkragen,,,
,D-Wa cod. VII B Hs Nr. 264,Wolfenbütteler Lautentabulatur,,,
,CH-Bu F X 5,Liederbuch des jungen Bonifacius Amerbach. Discantus,https://doi.org/10.7891/e-manuscripta-13872,,
,CH-Bu F X 6,Liederbuch des jungen Bonifacius Amerbach. Discantus,https://doi.org/10.7891/e-manuscripta-13873,,
,CH-Bu F X 7,Liederbuch des jungen Bonifacius Amerbach. Tenor,https://doi.org/10.7891/e-manuscripta-13874,,
,CH-Bu F X 8,Liederbuch des jungen Bonifacius Amerbach. Bassus,https://doi.org/10.7891/e-manuscripta-13875,,
,CH-Bu F X,Amerbach-Liederbuch. Bassus - copy,https://doi.org/10.7891/e-manuscripta-94205,,
,D-B Yd5041,Berliner Liederbuch,http://resolver.staatsbibliothek-berlin.de/SBB0001B6B400000000,,https://gateway-bayern.de/VD16+ZV+9709
,D-Us Smr.misc 131b_copy,Lautentabulatur,,,
A-Wn_Cod._9704,A-Wn Cod. 9704,Lautenbüchlein des Jakob Thurner,http://data.onb.ac.at/rec/AC13955711,,
A-Wn_Mus.Hs._18688,A-Wn Mus.Hs. 18688,Lautentabulatur des Stephan Craus,http://data.onb.ac.at/rec/AC14316391,https://rism.online/sources/600141880,
A-Wn_Mus.Hs._18827,A-Wn Mus.Hs. 18827,Lautentabulatur Antonius,https://search.onb.ac.at/permalink/f/sb7jht/ONB_alma21308232200003338,https://opac.rism.info/search?id=600141783&View=rism,
A-Wn_Mus.Hs._41950,A-Wn Mus.Hs. 41950,Blindhamers Lautentabulatur,http://data.onb.ac.at/rec/AC14278637,,
Agr_1529-1,A-Wn 396116-A,Musica instrumentalis deudsch,http://data.onb.ac.at/rec/AC09646998,,https://gateway-bayern.de/VD16+A+1066
Ambr_1582,A-Wkm KK_5410,Ambraser Liederbuch,,,
AvA_1514-1515_A,CH-Bu F IX 63,Liederbuch des Arnt von Aich. Altus,https://doi.org/10.3931/e-rara-16454,https://opac.rism.info/rism/Record/rism993103912,https://gateway-bayern.de/VD16+F+3304
AvA_1514-1515_B,CH-Bu F IX 63,Liederbuch des Arnt von Aich. Bassus,https://doi.org/10.3931/e-rara-16454,https://opac.rism.info/rism/Record/rism993103912,https://gateway-bayern.de/VD16+F+3304
AvA_1514-1515_D,CH-Bu F IX 63,Liederbuch des Arnt von Aich. Discantus,https://doi.org/10.3931/e-rara-16454,https://opac.rism.info/rism/Record/rism993103912,https://gateway-bayern.de/VD16+F+3304
AvA_1514-1515_T,CH-Bu F IX 63,Liederbuch des Arnt von Aich. Tenor,https://doi.org/10.3931/e-rara-16454,https://opac.rism.info/rism/Record/rism993103912,https://gateway-bayern.de/VD16+F+3304
BR_1531,D-Z 30.5.20(1),Etliche hubsche bergkreien / geistlich vnd weltlich zu samen gebracht,,,https://gateway-bayern.de/VD16+E+4065
BR_1533,D-Z 2.8.10(5),Bergkreien. Etliche schóne Gesenge newlich zu samen gebracht gemehret vnd gebessert,,,https://gateway-bayern.de/VD16+E+4066
BR_1536,D-B Yd 5006,Bergkreyen Etliche Schóne gesenge newlich zúsamen gebracht gemehrt vnd gebessert,http://resolver.staatsbibliothek-berlin.de/SBB0000815600000000,,https://gateway-bayern.de/VD16+E+4067
BR_1537,"D-WRZ 14,6:60e(n.1.)",Bergkreyen. Etliche Schóne gesenge newlich zúsamen gebracht gemehret vnd gebessert,https://creativecommons.org/publicdomain/mark/1.0/deed.de,,https://gateway-bayern.de/VD16+E+4068
BR_1574_I,D-B Yd 5008 R,Berckreyen. Etliche Schóne Gesenge newlich zu samen gebracht gemehret vnd gebessert.,http://resolver.staatsbibliothek-berlin.de/SBB0001B6B700000000,,https://gateway-bayern.de/VD16+E+4069
BR_1574_II,D-B 1 an: Yd 5008,Ander teyl der Berckreyen. Auffs new zu=||samen bracht [...],http://resolver.staatsbibliothek-berlin.de/SBB0001B6B800000000,,https://gateway-bayern.de/VD16+E+4070
BR_1574_III,D-B 2 an: Yd 5008,"[Bergreihen, dritter Teil]",http://resolver.staatsbibliothek-berlin.de/SBB0001B6B900000000,,https://gateway-bayern.de/VD16+ZV+5447
Bs_WoSollIch1,"D-Mbs Einbl. I,6",Broadsheet Wo soll ich mich hin [...] ich junges,https://www.digitale-sammlungen.de/de/view/bsb00101604?page=1,,
Bs_WoSollIch2,D-Mbs 2 Mus.pr. 156.16/20#16,Broadsheet Wo soll ich mich hinkehren,https://opacplus.bsb-muenchen.de/title/BV042494313,,
CH-Bu_F.X.10_B,CH-Bu F X 10,Kettenacker-Amerbach-Liederbuch. Bassus,https://doi.org/10.7891/e-manuscripta-2683,,
CH-Bu_F.X.17_D,CH-Bu F X 17,Liederbuch des Jacob Hagenbach. Discantus,https://doi.org/10.7891/e-manuscripta-119050,,
CH-Bu_F.X.18_T,CH-Bu F X 18,Liederbuch des Jacob Hagenbach. Tenor,https://doi.org/10.7891/e-manuscripta-119051,,
CH-Bu_F.X.19_A,CH-Bu F X 19,Liederbuch des Jacob Hagenbach. Altus,https://doi.org/10.7891/e-manuscripta-119048,,
CH-Bu_F.X.1_D,CH-Bu F X 1,Amerbach-Liederbuch. Discantus,https://doi.org/10.7891/e-manuscripta-94204,,
CH-Bu_F.X.20_B,CH-Bu F X 20,Liederbuch des Jacob Hagenbach. Bassus,https://doi.org/10.7891/e-manuscripta-119049,,
CH-Bu_F.X.21_T,CH-Bu F X 21,"Lieder, Motetten, Instrumentalsätze und Liedtexte. Tenor",https://doi.org/10.7891/e-manuscripta-13849,,
CH-Bu_F.X.22_D,CH-Bu F X 22,Liederbuch. Discantus,https://doi.org/10.7891/e-manuscripta-14535,,
CH-Bu_F.X.23_A,CH-Bu F X 23,Liederbuch. Altus,https://doi.org/10.7891/e-manuscripta-15113,,
CH-Bu_F.X.24_B,CH-Bu F X 24,Liederbuch. Bassus,https://doi.org/10.7891/e-manuscripta-15114,,
CH-Bu_F.X.25_T,CH-Bu F X 25,"[25 Lieder, horazische Oden, Motetten und musiktheoretische Schriften, Tenor]",https://doi.org/10.7891/e-manuscripta-13482,,
CH-Bu_F.X.2_A,CH-Bu F X 2,Amerbach-Liederbuch. Altus,https://doi.org/10.7891/e-manuscripta-94205,,
CH-Bu_F.X.3_T,CH-Bu F X 3,Amerbach-Liederbuch (Tenor),https://doi.org/10.7891/e-manuscripta-87096,,
CH-Bu_F.X.4_B,CH-Bu F X 4,Amerbach-Liederbuch. Bassus,https://doi.org/10.7891/e-manuscripta-86512,,
CH-SGs_Cod.Sang.463,CH-SGs Cod. Sang. 463,Tschudi-Liederbuch. Discantus & Altus,https://www.e-codices.unifr.ch/de/list/one/csg/0463,,
D-B_Ms.germ.qu._718,D-B Ms.germ.qu.718,Liederbuch des Claus Spaun,http://resolver.staatsbibliothek-berlin.de/SBB000266C100000000,,
D-B_Ms.germ.qu._719,D-B Ms.germ.qu. 719,Königsteiner Liederbuch,http://resolver.staatsbibliothek-berlin.de/SBB0000A1D400000000,,
D-B_Mus.ms._40588,D-B Mus.ms. 40588,Tabulatur auf die Lauten,http://resolver.staatsbibliothek-berlin.de/SBB000014B500000000,https://opac.rism.info/rism/Record/rism466000002,
D-HEu_cpg_343,D-HEu cpg 343,Heidelberger Cod. cpg 343,https://digi.ub.uni-heidelberg.de/diglit/cpg343,,
D-KA_DonMus.Autogr._1,D-KA Don Mus.Autogr. 1,Karlsruhe Fragment,urn:nbn:de:bsz:31-124880,https://opac.rism.info/rism/Record/rism453011178,
D-Lem_I.191,D-LEm I. 8° 191,Leipziger Harfentabulatur,,,
D-Mbs_Mus.ms._1501_A,D-Mbs Mus.ms. 1501,Herwart-Liederbuch. Altus,https://www.digitale-sammlungen.de/view/bsb00104658?page=%2C1,https://opac.rism.info/rism/Record/rism1001029067,
D-Mbs_Mus.ms._1501_B,D-Mbs Mus.ms. 1501,Herwart-Liederbuch. Bassus,https://www.digitale-sammlungen.de/view/bsb00104658?page=%2C1,https://opac.rism.info/rism/Record/rism1001029067,
D-Mbs_Mus.ms._1501_D,D-Mbs Mus.ms. 1501,Herwart-Liederbuch. Discantus,https://www.digitale-sammlungen.de/view/bsb00104658?page=%2C1,https://opac.rism.info/rism/Record/rism1001029067,
D-Mbs_Mus.ms._1501_T,D-Mbs Mus.ms. 1501,Herwart-Liederbuch. Tenor,https://www.digitale-sammlungen.de/view/bsb00104658?page=%2C1,https://opac.rism.info/rism/Record/rism1001029067,
D-Mbs_Mus.ms._1511c,D-Mbs Mus.ms. 1511c,Lautentabulatur aus Herwart's Sammlung,https://www.digitale-sammlungen.de/view/bsb00104623?page=%2C1,https://opac.rism.info/id/rismid/rism456055125,
D-Mbs_Mus.ms._1511d,D-Mbs Mus.ms. 1511d,Lautentabulatur aus Herwart's Sammlung,https://www.digitale-sammlungen.de/view/bsb00104624?page=%2C1,https://opac.rism.info/rism/Record/rism456055136,
D-Mbs_Mus.ms._1512,D-Mbs Mus.ms. 1512,Jakobäa-Tabulatur,https://www.digitale-sammlungen.de/view/bsb00104652?page=%2C1,https://rism.online/sources/456055162,
D-Mbs_Mus.ms._266,D-Mbs Mus.ms. 266,Lautentabulatur aus Herwart's Sammlung,"https://www.digitale-sammlungen.de/de/view/bsb00104649?page=,1",https://opac.rism.info/rism/Record/rism456054509,
D-Mbs_Mus.ms._267,D-Mbs Mus.ms. 267,Lautentabulatur aus Herwart's Sammlung,https://www.digitale-sammlungen.de/view/bsb00104650?page=%2C1,https://opac.rism.info/rism/Record/rism456054588,
D-Mbs_Mus.ms._268,D-Mbs Mus.ms. 268,Lute Tablature from Herwart's Collection,https://www.digitale-sammlungen.de/view/bsb00104606?page=%2C1,https://opac.rism.info/rism/Record/rism456054610,
D-Mbs_Mus.ms._269,D-Mbs Mus.ms. 269,Lautentabulatur aus Herwart's Sammlung,https://www.digitale-sammlungen.de/view/bsb00104607?page=%2C1,https://opac.rism.info/rism/Record/rism456054617,
D-Mbs_Mus.ms._270,D-Mbs Mus.ms. 270,Lautentabulatur aus Herwart's Sammlung,https://www.digitale-sammlungen.de/view/bsb00104608?page=%2C1,https://opac.rism.info/rism/Record/rism456054640,
D-Mbs_Mus.ms._271,D-Mbs Mus.ms. 271,Lautentabulatur aus Herwart's Sammlung,https://www.digitale-sammlungen.de/view/bsb00104609?page=%2C1,https://opac.rism.info/rism/Record/rism456054666,
D-Mu_Cod.328-331_B,D-Mu 8° Cod. 328-331,Welser-Liederbuch. Bassus,https://epub.ub.uni-muenchen.de/12054/1/Cim._44c-4.pdf,,
D-Mu_Cod.328-331_D,D-Mu 8° Cod. 328-331,Welser-Liederbuch. Discantus,https://epub.ub.uni-muenchen.de/12052/1/Cim._44c-2.pdf,,
D-Mu_Cod.328-331_T,D-Mu 8° Cod. 328-331,Welser-Liederbuch. Tenor,https://epub.ub.uni-muenchen.de/12051/1/Cim._44c-1.pdf,,
D-Mu_Cod.ms._718,D-Mu 4° Cod.ms. 718,Das Mathematik- und Tabulaturbuch des Jorg Wiltzell,https://epub.ub.uni-muenchen.de/24888/1/4Cod.ms.718.pdf,,
D-Us_Smr.misc_131b,D-Us Smr.misc 131b,Lautentabulatur,,,
D-Usch_Misc._235c,D-Usch Misc.235c,Schermar 235 T,https://openaccess-stadtbibliothek.ulm.de/pdf/Reproduktionen/smr_Misc_235c/,,
EgenolffG_1535_T,D-Z Mus. 82.2,Gassenhawerlin. Tenor,,https://opac.rism.info/id/rismid/rism993104125,https://gateway-bayern.de/VD16+G+487
EgenolffR_1535_A,D-Z Mus. 82.2,[Gassenhawelin]. Altus,,https://opac.rism.info/id/rismid/rism993104125,https://gateway-bayern.de/VD16+G+487
EgenolffR_1535_B,D-Z Mus. 82.2,[Gassenhawerlin]. Bassus,,https://opac.rism.info/id/rismid/rism993104125,https://gateway-bayern.de/VD16+G+487
EgenolffR_1535_T,D-Z Mus. 82.2,Reutterliedlin. Tenor,,https://opac.rism.info/search?id=993104126&View=rism,https://gateway-bayern.de/VD16+G+487
EgenolffR_1535a_D,D-Mbs Mus.pr. 46#Beibd.1,Gassenhawer Reutterliedlin. Discantus,https://www.digitale-sammlungen.de/de/details/bsb00086383,https://opac.rism.info/rism/Record/rism993114956?sid=32983430,https://gateway-bayern.de/VD16+G+488
Forster_1539_A,D-Mbs 4 Mus.pr.167,Frische teutsche Liedlein. Teil I. Altus,https://www.digitale-sammlungen.de/view/bsb00074418?page=1,https://opac.rism.info/id/rismid/rism993104251,https://gateway-bayern.de/VD16+ZV+18759
Forster_1539_B,D-Mbs 4 Mus.pr.167,Frische teutsche Liedlein. Teil I. Bassus,https://www.digitale-sammlungen.de/view/bsb00074418?page=1,https://opac.rism.info/rism/Record/rism1001029067,https://gateway-bayern.de/VD16+ZV+18759
Forster_1539_D,D-Mbs 4 Mus.pr.167,Frische teutsche Liedlein. Teil I. Discantus,https://www.digitale-sammlungen.de/view/bsb00074418?page=1,https://opac.rism.info/rism/Record/rism1001029067,https://gateway-bayern.de/VD16+ZV+18759
Forster_1539_T,D-Mbs 4 Mus.pr.167,Frische teutsche Liedlein. Teil I. Tenor,https://www.digitale-sammlungen.de/view/bsb00074418?page=1,https://opac.rism.info/id/rismid/rism993104251?sid=49855344,https://gateway-bayern.de/VD16+ZV+18759
Forster_1540_A,D-Mbs 4 Mus.pr.167,Frische teutsche Liedlein. Teil II. Altus,https://www.digitale-sammlungen.de/de/details/bsb00074419,https://opac.rism.info/search?id=993104281&View=rism,https://gateway-bayern.de/VD16+ZV+18759
Forster_1540_B,D-Mbs 4 Mus.pr.167,Frische teutsche Liedlein. Teil II. Bassus,https://www.digitale-sammlungen.de/de/details/bsb00074419,https://opac.rism.info/search?id=993104281&View=rism,https://gateway-bayern.de/VD16+ZV+18759
Forster_1540_D,D-Mbs 4 Mus.pr.167,Frische teutsche Liedlein. Teil II. Discantus,https://www.digitale-sammlungen.de/de/details/bsb00074419,https://opac.rism.info/search?id=993104281&View=rism,https://gateway-bayern.de/VD16+ZV+18759
Forster_1540_T,D-Mbs 4 Mus.pr.167,Frische teutsche Liedlein. Teil II. Tenor,https://www.digitale-sammlungen.de/de/details/bsb00074419,https://opac.rism.info/search?id=993104281&View=rism,https://gateway-bayern.de/VD16+ZV+18759
Ger_1532-2,D-B Mus.ant.theor G 60,Musica Teusch,http://resolver.staatsbibliothek-berlin.de/SBB0001441A00000000,https://opac.rism.info/search?id=990020811&View=rism,https://gateway-bayern.de/VD16+G+1574
Ger_1533-1,D-B Mus.ant.pract. G 435,Tabulatur auf die Lauten,http://resolver.staatsbibliothek-berlin.de/SBB0001F5B500000000,https://opac.rism.info/rism/Record/rism993104093,https://gateway-bayern.de/VD16+G+1578
Jud_151-1,A-Wn MS47356-8°,Utilis et compendiaria introductio,http://data.onb.ac.at/rec/AC09185338,https://opac.rism.info/rism/Record/rism990032736,https://gateway-bayern.de/VD16+J+1031
Jud_1523-2,A-Wn MS47356-8°,Ain schone kunstliche underweisung,http://data.onb.ac.at/rec/AC09185338,https://opac.rism.info/rism/Record/rism990032736,https://gateway-bayern.de/VD16+J+1030
Lf_Q-5534,D-B Yd9496,Leaflet Q-5534 Yd9496,http://resolver.staatsbibliothek-berlin.de/SBB0000E5A900000000,,https://gateway-bayern.de/VD16+ZV+15589
Lf_Q-5535,D-B Yd9503,Leaflet Q-5535 Yd9503,http://resolver.staatsbibliothek-berlin.de/SBB0000E5AA00000000,,https://gateway-bayern.de/VD16+ZV+15590
New_1536-6,D-HAu Pon IIe 290 (2),Ein neugeordnetes künstliches Lautenbuch. Part I,http://dx.doi.org/10.25673/opendata2-3222,https://opac.rism.info/rism/Record/rism993104150,https://gateway-bayern.de/VD16+ZV+11665
New_1536-7,D-HAu Pon IIe 290 (2),Ein neugeordnetes künstliches Lautenbuch. Part II,urn:nbn:de:gbv:3:1-336930-p0001-4,https://opac.rism.info/rism/Record/rism993104151,https://gateway-bayern.de/VD16+ZV+11665
New_1540-1,D-HAu Pon IIe 290 (1),Ein neues Lautenbüchlein,urn:nbn:de:gbv:3:1-336360,https://rism.online/sources/993104283,ttps://gateway-bayern.de/VD16+ZV+22820
Oeg_1512_A,D-Mbs Rar. 27,[Erstes Liederbuch des Erhart Öglin] Altus,https://www.digitale-sammlungen.de/view/bsb00082229?page=%2C1,https://opac.rism.info/search?id=993103852&View=rism,https://gateway-bayern.de/VD16+G+1651
Oeg_1512_B,D-Mbs Rar. 27,[Erstes Liederbuch des Erhart Öglin] Bassus,https://www.digitale-sammlungen.de/view/bsb00082229?page=%2C1,https://opac.rism.info/search?id=993103852&View=rism,https://gateway-bayern.de/VD16+G+165
Oeg_1512_D,D-Mbs Rar. 27,"Öglin 1512, Oeg I, Erhart Öglins erstesLiederbuch",https://www.digitale-sammlungen.de/view/bsb00082229?page=%2C1,https://opac.rism.info/search?id=993103852&View=rism,https://gateway-bayern.de/VD16+G+1651
Oeg_1512_T,D-Mbs Rar. 27,"Öglin 1512, Oeg I, Öglins erstes Liederbuch",https://www.digitale-sammlungen.de/view/bsb00082229?page=%2C1,https://opac.rism.info/search?id=993103852&View=rism,https://gateway-bayern.de/VD16+G+1651
Oeg_1513_D,D-B Mus.ant.pract. O 65,Zweites Liederbuch des Erhart Öglin. Discantus,https://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN796371709,https://opac.rism.info/rism/Record/rism993114941?sid=10169717,https://gateway-bayern.de/VD16+ZV+31477
Ott_1534_A,D-Mbs Mus.pr. 35,Hundert und einundzwanzig neue Lieder. Teil I. Altus,https://www.digitale-sammlungen.de/view/bsb00082621?page=1,https://opac.rism.info/rism/Record/rism993104106,https://gateway-bayern.de/VD16+ZV+26800
Ott_1534_B,D-Mbs Mus.pr. 35,Hundert und einundzwanzig neue Lieder. Teil I. Bassus,https://www.digitale-sammlungen.de/view/bsb00082621?page=1,https://opac.rism.info/rism/Record/rism993104106,https://gateway-bayern.de/VD16+ZV+26800
Ott_1534_D,D-Mbs Mus.pr. 35,Hundert und einundzwanzig neue Lieder. Teil I. Discantus,https://www.digitale-sammlungen.de/view/bsb00082621?page=1,https://opac.rism.info/rism/Record/rism993104106,https://gateway-bayern.de/VD16+ZV+26800
Ott_1534_T,D-Mbs Mus.pr. 35,Hundert und einundzwanzig neue Lieder. Teil I,https://www.digitale-sammlungen.de/view/bsb00082621?page=1,https://opac.rism.info/rism/Record/rism993104106,https://gateway-bayern.de/VD16+ZV+26800
Ott_1534_V,D-Mbs Mus.pr. 35,Hundert und einundzwanzig neue Lieder. Teil I. Vagans,https://www.digitale-sammlungen.de/view/bsb00082621?page=1,https://opac.rism.info/rism/Record/rism993104106,https://gateway-bayern.de/VD16+ZV+26800
PL-Kj_Mus.ms._40154,PL-Kj Mus.ms. 40154,Hungersperger Tabulatur,,,
PL-WRk_352,PL-WRk 352,Tabulatur auf die Laute,,,
Sch_1512-1,D-LEm II. 6. 13 / D-Dl II. 6. 13,Tabulaturen etlicher Lobgesang und Lidlein,http://digital.slub-dresden.de/id456295895,https://opac.rism.info/rism/Record/rism225003434,
Schoe-Ap_1536_T,D-Mbs Mus.pr. 39#Beibd.2,"Schöffer-Apiarius, Tenorstimmbuch",https://www.digitale-sammlungen.de/de/details/bsb00081895,https://opac.rism.info/rism/Record/rism993104169?sid=33121509,https://gateway-bayern.de/VD16+F+3303
Schoe_1513_T,D-Mbs Rar. 567,[Erstes Liederbuch des Peter Schöffer] Tenor,https://mdz-nbn-resolving.de/bsb00074659,https://opac.rism.info/rism/Record/rism993103861,https://gateway-bayern.de/VD16+ZV+26523
Schoe_1517_A,D-Mbs Mus.pr. 316,Zweites Liederbuch des Peter Schöffer. Altus,https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00081592,https://opac.rism.info/rism/Record/rism993114942,
Schoe_1517_B,D-Mbs Mus.pr. 316,Zweites Liederbuch des Peter Schöffer. Bassus,https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00081592,https://opac.rism.info/rism/Record/rism993114942,
Schoe_1517_D,D-Mbs Mus.pr. 316,Zweites Liederbuch des Peter Schöffer. Discantus,https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00081592,https://opac.rism.info/rism/Record/rism993114942,
Schoe_1517_T,D-Cl Rara/BIII 1/9(Beil 1),Zweites Liederbuch des Peter Schöffer. Tenor,https://nbn-resolving.org/urn:nbn:de:bvb:70-dtl-0000014089,https://opac.rism.info/rism/Record/rism993114942,
Vir_1511-3,D-Mbs 4 Mus.th. 1616,Musica getutscht,https://www.digitale-sammlungen.de/view/bsb00011703?page=1,,https://gateway-bayern.de/VD16+V+1329
Yale_tab,US-NHub Osborn Music MS 31,Yale Tablature,https://collections.library.yale.edu/catalog/17451985,,
